Firm,URL,US Based,Hiring
3Red Partners,https://www.3redpartners.com,Yes,Yes
A Priori Investments,https://www.aprioriinvestments.com,Unknown,Unknown
Acadian Asset Management,https://www.acadian-asset.com,Unknown,Unknown
Akuna Capital,https://akunacapital.com,Yes,Yes
Albatross Labs,https://www.albatrosslabs.io,Unknown,Unknown
AlphaGrep,https://www.alpha-grep.com,Unknown,Unknown
AlphaSimplex,https://www.alphasimplex.com,Unknown,Unknown
Alphataraxia Management,https://www.alphataraxia.com,Unknown,Unknown
Alyeska Investment Group,http://www.alyeskagroup.com,Unknown,Unknown
Ansatz Capital,https://ansatz.capital,Unknown,Unknown
AQR Capital Management,https://www.aqr.com,Unknown,Unknown
Aquatic Capital,https://www.aquatic.com,Unknown,Unknown
Arrowstreet Capital,https://www.arrowstreetcapital.com,Unknown,Unknown
ART Advisors,https://www.linkedin.com/company/a-r-t-advisors-llc,Unknown,Unknown
Aspect Capital,https://www.aspectcapital.com,Unknown,Unknown
AXQ Capital,https://www.axqcap.com,Unknown,Unknown
Balyasny Asset Management,https://www.bamfunds.com,Unknown,Unknown
Banyan Alpha Investment,https://banyanalpha.com,Unknown,Unknown
Belvedere Trading,https://www.belvederetrading.com,Yes,Yes
BlackEdge Capital,https://www.blackedge.com,Unknown,Unknown
Bluefin Capital Management,http://www.bfcm.com,Unknown,Unknown
Blueshift Asset Management,https://www.blueshift.am,Unknown,Unknown
Boerboel Trading,https://www.boerboeltrading.com,Unknown,Unknown
Boulder Hill Capital Management,https://www.linkedin.com/company/boulder-hill-capital-management-lp,Unknown,Unknown
Brevan Howard,https://www.brevanhoward.com,Unknown,Unknown
Bridgewater Associates,https://www.bridgewater.com,Unknown,Unknown
Cantor Fitzgerald,https://www.cantor.com,Unknown,Unknown
Capital Fund Management,https://www.cfm.com,Unknown,Unknown
Capital Markets Trading,https://www.capitalmarketstrading.com,Unknown,Unknown
Capstone,https://www.capstoneco.com,Unknown,Unknown
Capula,https://www.capulaglobal.com,Unknown,Unknown
Caxton Associates,https://www.caxton.com,Unknown,Unknown
Centiva Capital,https://centivacapital.com,Unknown,Unknown
Chicago Trading Company,https://www.chicagotrading.com,Unknown,Unknown
Cipher Capital,https://ciphercap.com,Unknown,Unknown
Citadel,https://www.citadel.com,Unknown,Unknown
ClearAlpha,https://www.clearalphatech.com,Unknown,Unknown
Consolidated Trading,http://prod.consolidatedtrading.com,Unknown,Unknown
CQS,https://www.cqs.com/,Unknown,Unknown
Cubist,https://point72.com/cubist/,Unknown,Unknown
Dark Forest,https://www.linkedin.com/company/dark-forest-technologies,Unknown,Unknown
DE Shaw,https://www.deshaw.com,Unknown,Unknown
Dolat Capital,https://www.dolatcapital.com,Unknown,Unknown
DRW,https://drw.com,Yes,Yes
Duality Group,https://dualitygroup.com,Unknown,Unknown
DV Trading,https://dvtrading.co,Yes,Yes
Edgehog Trading,https://www.edgehogtrading.com,Unknown,Unknown
Edgestream Partners,https://www.edgestreamlp.com,Unknown,Unknown
Eisler Capital,https://eislercapital.com,Unknown,Unknown
Elk Capital Markets,https://elkcapitalmarkets.com,Unknown,Unknown
Elequin Capital,https://www.elequincapital.com,Unknown,Unknown
Emergent Trading,https://www.emergenttrading.com,Unknown,Unknown
Engineers Gate,https://www.eglp.com,Unknown,Unknown
Eqvilent,https://www.eqvilent.com,Unknown,Unknown
Ergoteles Capital,https://www.linkedin.com/company/ergoteles-capital/,Unknown,Unknown
Eschaton Trading,https://www.eschatontrading.com,Unknown,Unknown
Evergreen Statistical Trading,https://www.evergreenstat.com,Unknown,Unknown
ExodusPoint,https://www.exoduspoint.com,Unknown,Unknown
Five Rings,https://fiverings.com,Unknown,Unknown
Florin Court Capital,https://florincourt.com,Unknown,Unknown
Flow Traders,https://www.flowtraders.com,Unknown,Unknown
Freestone Grove Partners,https://fgrovep.com,Unknown,Unknown
G-Research,https://www.gresearch.com,Unknown,Unknown
GAM Systematic,https://www.gam.com/,Unknown,Unknown
Garda Capital Partners,https://www.gardacp.com,Unknown,Unknown
Gelber Group,https://www.gelbergroup.com,Yes,Yes
Geneva Trading,https://www.genevatrading.com,Yes,Yes
Geode Capital Management,https://www.geodecapital.com,Unknown,Unknown
Graham Capital Management,https://www.grahamcapital.com,Unknown,Unknown
Graviton Research Capital,https://www.gravitontrading.com,Unknown,Unknown
Group One Trading,https://group1.com,Unknown,Unknown
GSA Capital Partners,https://www.gsacapital.com,Unknown,Unknown
GTS,https://gtsx.com,Yes,Yes
HAP Capital,https://www.hap-capital.com,Unknown,Unknown
Headlands Technologies,https://www.headlandstech.com,Yes,Yes
Hudson Bay Capital,https://www.hudsonbaycapital.com,Unknown,Unknown
Hudson River Trading,https://www.hudsonrivertrading.com,Yes,Yes
IMC Financial Markets,https://www.imc.com/us/,Unknown,Unknown
Jacobs Levy Equity Management,https://www.jlem.com,Unknown,Unknown
Jain Global,https://www.jainglobal.com,Unknown,Unknown
Jane Street,https://www.janestreet.com,Unknown,Unknown
Jocassee Quantitative,https://www.jocasseequantitative.com,Unknown,Unknown
Jump Trading,https://www.jumptrading.com,Yes,Yes
Kepos Capital,https://www.keposcapital.com,Unknown,Unknown
Kore Trading,https://www.koretrading.com,Yes,Yes
Kula Investments,https://www.linkedin.com/company/kula-investments/,Unknown,Unknown
Laurion Capital Management,https://www.laurioncap.com,Unknown,Unknown
Lord Abbett,https://www.lordabbett.com,Unknown,Unknown
Lynx Asset Management,https://www.lynxhedge.se/en/,Unknown,Unknown
Mako,https://www.mako.com,Unknown,Unknown
Man Group,https://www.man.com,Unknown,Unknown
Mana Partners,https://www.mana-partners.com,Unknown,Unknown
Marquette Partners,http://marquettepartners.squarespace.com,Unknown,Unknown
Marshall Wace,https://www.mwam.com,Unknown,Unknown
Maven Securities,https://www.mavensecurities.com,Unknown,Unknown
Millburn,https://millburn.com,Unknown,Unknown
Monoceros,https://www.monoceros.com,Unknown,Unknown
Nebula Research & Development,https://www.nebularesearch.com,Unknown,Unknown
Old Mission Capital,https://www.oldmissioncapital.com,Unknown,Unknown
Optiver,https://optiver.com,Unknown,Unknown
Paloma Partners,https://www.paloma.com/home,Unknown,Unknown
PanAgora,https://www.panagora.com,Unknown,Unknown
Parallax Volatility Advisers,https://www.parallaxfund.com,Unknown,Unknown
PDT Partners,https://pdtpartners.com,Unknown,Unknown
Peak6,https://peak6.com,Unknown,Unknown
PGIM Quant Solutions,https://www.pgimquantitativesolutions.com,Unknown,Unknown
Prime Trading,https://www.prime-trading.com,Unknown,Unknown
QMS Capital Management,https://www.qmscapital.com,Unknown,Unknown
Qsemble Capital Management,http://www.qsemble.com,Unknown,Unknown
Quadeye,https://www.quadeye.com,Unknown,Unknown
Quadrature,https://quadrature.ai,Unknown,Unknown
Quantbot Technologies,https://www.quantbot.com,Yes,Yes
Quantbox Research,https://www.quantboxresearch.com,Unknown,Unknown
Quantitative Investment Management,https://www.quantitative.com,Unknown,Unknown
Quantlab Financial,https://www.quantlab.com,Unknown,Unknown
Quantumrock Capital,https://www.quantumrock.ai,Unknown,Unknown
Qube Research & Technologies,https://www.qube-rt.com,Unknown,Unknown
